height (in),weight (lb),health index
69,152,0
68,145,0
69,154,0
70,151,0
68,149,0
70,153,0
68,152,0
69,155,0
70,148,0
68,150,0
69,157,0
73,164,1
66,160,1
71,159,1
67,166,1
70,159,1
68,165,1
72,161,1
65,158,1
69,174,1
74,157,1
80,176,2
84,187,2
79,190,2
81,182,2
88,178,2
82,195,2
87,168,2
81,183,2
83,206,2
79,195,2
62,144,-1
64,134,-1
63,138,-1
61,143,-1
65,149,-1
63,136,-1
62,142,-1
65,146,-1
61,145,-1
64,132,-1
58,129,-2
57,130,-2
55,125,-2
59,128,-2
56,126,-2
58,132,-2
54,123,-2
53,121,-2
55,119,-2
58,136,-2
